alloy,ele_A,ele_B,frac_A,frac_B,filling_a,filling_b,filling_c,filling_d,pair_in_database,fill_dist_to_nearest_real,Nads_RF,Nads_surrogate,abs_err_target,model_spread
Os_Au,Os,Au,0.5,0.5,0.5878524780273438,0.8847097754478455,0.9797590059310135,0.8117241859436035,True,0.1136361114068985,-0.015443060000004075,-0.03656346,0.015443060000004075,0.02112039978378842
Pt_Ir,Pt,Ir,0.75,0.25,0.8538378477096558,0.8475485444068909,0.723846435546875,0.8523440957069397,True,0.02600155256416554,-0.02245289000001362,-0.08557871,0.02245289000001362,0.06312581984076092
Ni_Ir,Ni,Ir,0.75,0.25,0.781330943107605,0.8520873188972473,0.8663632273674011,0.8247111439704895,True,0.03589081583061825,-0.043012809999996335,0.051274013,0.043012809999996335,0.09428682277422538
Co_Au,Co,Au,0.5,0.5,0.8400935530662537,0.7667015790939331,0.9360366463661194,0.7720693349838257,True,0.08667566923145444,0.04511889999999724,-0.02686577,0.04511889999999724,0.07198466917767249
Cu_Os,Cu,Os,0.75,0.25,0.8498885035514832,0.9063398838043213,0.8691513538360596,0.9369086027145386,True,0.1477211602250767,-0.09250497499999767,-0.10531862,0.09250497499999767,0.012813645800974313
Cu_Rh,Cu,Rh,0.75,0.25,0.8573847413063049,0.8775282502174377,0.7598011493682861,0.8734076619148254,True,0.10600150571732288,0.1158791333333264,-0.0236951,0.1158791333333264,0.13957423343217473
Cu_Mo,Cu,Mo,0.75,0.25,0.9797590059310135,0.9553560018539429,0.5647100806236267,0.9732615200493593,True,0.057296834642618664,0.12457142000000822,0.26103288,0.12457142000000822,0.13646145935256138
Ni_Ir,Ni,Ir,0.75,0.25,0.8523308634757996,0.779313862323761,0.8374067544937134,0.8062201142311096,True,0.06733164211853046,-0.1267177505476084,0.003116291,0.1267177505476084,0.12983404156394865
Cu_Os,Cu,Os,0.75,0.25,0.7962694764137268,0.9020490646362305,0.8819474577903748,0.9546826481819153,True,0.14240489820411154,-0.13074388999999476,-0.14967068,0.13074388999999476,0.018926785396924495
Co_Au,Co,Au,0.5,0.5,0.8586291074752808,0.7743575572967529,0.8132047057151794,0.8569998145103455,True,0.11841157266724336,-0.13978660066666448,-0.122830525,0.13978660066666448,0.01695607562603796
