alloy,ele_A,ele_B,frac_A,frac_B,filling_a,filling_b,filling_c,filling_d,pair_in_database,fill_dist_to_nearest_real,Nads_RF,Nads_surrogate,abs_err_target,model_spread
Pt_Ir,Pt,Ir,0.5,0.5,0.8564853668212891,0.8442568778991699,0.7947173118591309,0.8024417757987976,True,0.047721438373913454,0.011656303333324946,0.33660877,0.011656303333324946,0.3249524641761355
Os_Au,Os,Au,0.5,0.5,0.6020520329475403,0.8669442534446716,0.9575991630554199,0.8083067536354065,True,0.10820526166409825,-0.017846420000005168,-0.026284985,0.017846420000005168,0.008438565244268972
Co_Pt,Co,Pt,0.75,0.25,0.7398786544799805,0.7903382182121277,0.891861081123352,0.8469089269638062,True,0.06177281969817098,0.020628941428569792,0.453089,0.020628941428569792,0.43246005736598586
Ni_Ir,Ni,Ir,0.75,0.25,0.7686296701431274,0.8446398973464966,0.861268162727356,0.8321207165718079,True,0.02265375899413064,-0.02193997000000123,-0.05546662,0.02193997000000123,0.03352664838888999
Cu_Rh,Cu,Rh,0.5,0.5,0.8921775817871094,0.8171600103378296,0.9027145504951477,0.8914880156517029,True,0.13026143508740948,-0.02606873399999323,0.26596534,0.02606873399999323,0.2920340765216607
Co_Au,Co,Au,0.75,0.25,0.7883085012435913,0.7770772576332092,0.926263153553009,0.7547544240951538,True,0.045663098954900505,0.027955919999995502,0.0075931065,0.027955919999995502,0.02036281352154282
Co_Au,Co,Au,0.75,0.25,0.8578643202781677,0.7776660919189453,0.8461466431617737,0.848362386226654,True,0.1415012929976302,-0.029646190666668428,0.090438426,0.029646190666668428,0.1200846162075925
Au_Ru,Au,Ru,0.5,0.5,0.7763338685035706,0.8322082757949829,0.8171888589859009,0.7595495581626892,True,0.1845026920904442,-0.03302545000000528,0.1998193,0.03302545000000528,0.23284474659843973
Pd_Ir,Pd,Ir,0.5,0.5,0.7388237118721008,0.8819929361343384,0.9118676781654358,0.8454768657684326,True,0.04081939059806874,-0.04369417999999692,0.24284512,0.04369417999999692,0.2865392980458038
Rh_Ir,Rh,Ir,0.75,0.25,0.773108720779419,0.7730934023857117,0.9193007349967957,0.7695977091789246,True,0.13432610425185146,-0.05162355233333064,0.35617095,0.05162355233333064,0.40779450465342953
Pd_Ir,Pd,Ir,0.75,0.25,0.6022629737854004,0.9620895385742188,0.9223631024360657,0.8412280082702637,True,0.17344207902250838,-0.06686902000000117,-0.545917,0.06686902000000117,0.479047954544524
Pd_Mo,Pd,Mo,0.75,0.25,0.841221272945404,0.9489957094192505,0.6862269639968872,0.8798310160636902,True,0.18291645675165014,-0.07212937624999234,0.49474692,0.07212937624999234,0.5668762996966477
Rh_Ni,Rh,Ni,0.5,0.5,0.7943006753921509,0.8282200694084167,0.8278037309646606,0.8336988091468811,True,0.036856860022409094,-0.08230637999999903,-0.3110263,0.08230637999999903,0.22871992496025184
Pt_Ag,Pt,Ag,0.75,0.25,0.7913571000099182,0.8598868250846863,0.8872523307800293,0.7865912318229675,True,0.10921862475145565,0.08969751999999938,-0.10186155,0.08969751999999938,0.1915590714039987
Pd_Co,Pd,Co,0.75,0.25,0.7221142649650574,0.8335443735122681,0.8925244808197021,0.8154204487800598,True,0.0727501825582851,0.10165272571428675,-0.19708651,0.10165272571428675,0.2987392387567367
Ni_Pd,Ni,Pd,0.75,0.25,0.7530519366264343,0.8419758677482605,0.9377437829971313,0.8110580444335938,True,0.11093327403001041,0.11170823000000978,0.09623587,0.11170823000000978,0.015472358685007334
Au_Os,Au,Os,0.5,0.5,0.7466335892677307,0.8544973134994507,0.9038931131362915,0.8953694701194763,True,0.13491263843850695,-0.11273420999999897,0.048880745,0.11273420999999897,0.16161495472546475
